metric_name,timestamp,metric_value
vus,1790375104,1.000000
vus,1790375105,1.000000
vus,1790375106,1.000000
vus,1790375107,1.000000
vus,1790375108,1.000000
vus,1790375109,1.000000
vus,1790375110,1.000000
vus,1790375111,2.000000
vus,1790375112,2.000000
vus,1790375113,2.000000
vus,1790375114,2.000000
vus,1790375115,2.000000
vus,1790375116,2.000000
vus,1790375117,2.000000
vus,1790375118,2.000000
vus,1790375119,3.000000
vus,1790375120,3.000000
vus,1790375121,3.000000
vus,1790375122,3.000000
vus,1790375123,3.000000
vus,1790375124,3.000000
vus,1790375125,3.000000
vus,1790375126,4.000000
vus,1790375127,4.000000
vus,1790375128,4.000000
vus,1790375129,4.000000
vus,1790375130,4.000000
vus,1790375131,4.000000
vus,1790375132,4.000000
vus,1790375133,4.000000
vus,1790375134,5.000000
vus,1790375135,6.000000
vus,1790375136,6.000000
vus,1790375137,7.000000
vus,1790375138,7.000000
vus,1790375139,8.000000
vus,1790375140,9.000000
vus,1790375141,9.000000
vus,1790375142,10.000000
vus,1790375143,10.000000
vus,1790375144,11.000000
vus,1790375145,11.000000
vus,1790375146,12.000000
vus,1790375147,13.000000
vus,1790375148,13.000000
vus,1790375149,14.000000
vus,1790375150,14.000000
vus,1790375151,15.000000
vus,1790375152,16.000000
vus,1790375153,16.000000
vus,1790375154,17.000000
vus,1790375155,17.000000
vus,1790375156,18.000000
vus,1790375157,18.000000
vus,1790375158,19.000000
vus,1790375159,20.000000
vus,1790375160,20.000000
vus,1790375161,21.000000
vus,1790375162,21.000000
vus,1790375163,22.000000
vus,1790375164,23.000000
vus,1790375165,23.000000
vus,1790375166,24.000000
vus,1790375167,24.000000
vus,1790375168,25.000000
vus,1790375169,25.000000
vus,1790375170,26.000000
vus,1790375171,27.000000
vus,1790375172,27.000000
vus,1790375173,28.000000
vus,1790375174,28.000000
vus,1790375175,29.000000
vus,1790375176,30.000000
vus,1790375177,30.000000
vus,1790375178,31.000000
vus,1790375179,31.000000
vus,1790375180,32.000000
vus,1790375181,32.000000
vus,1790375182,33.000000
vus,1790375183,34.000000
vus,1790375184,34.000000
vus,1790375185,35.000000
vus,1790375186,35.000000
vus,1790375187,36.000000
vus,1790375188,37.000000
